Thread ID: -608599848
Total: 0.053116

 %self     total     self     wait    child    calls  name
  0.07      0.00     0.00     0.00     0.00        7  <Class::ActiveRecord::Base>#merge_conditions
  0.07      0.00     0.00     0.00     0.00       10  #<Module:0xb6f6ec60>#protect_against_forgery?
  0.07      0.00     0.00     0.00     0.00        6  ActionController::Routing::Route#extra_keys
  0.07      0.00     0.00     0.00     0.00        2  ActionView::Helpers::TextHelper#auto_link
  0.07      0.00     0.00     0.00     0.00        1  <Object::ActionController::Routing::RouteSet>#recognize_optimized
  0.07      0.00     0.00     0.00     0.00       25  Object#to_param
  0.07      0.00     0.00     0.00     0.00        5  ActionController::Response#content_type
  0.07      0.00     0.00     0.00     0.00        1  Hash#inspect
  0.07      0.00     0.00     0.00     0.00       12  ActiveRecord::AttributeMethods::ClassMethods#generated_methods?
  0.07      0.00     0.00     0.00     0.00        2  ActiveRecord::Base#initialize
  0.06      0.00     0.00     0.00     0.00        8  ActiveSupport::Inflector#inflections_without_route_reloading
  0.06      0.00     0.00     0.00     0.00       40  Array#size
  0.06      0.00     0.00     0.00     0.00       18  Object#present?
  0.06      0.00     0.00     0.00     0.00        6  HashWithIndifferentAccess#initialize
  0.06      0.00     0.00     0.00     0.00        8  HashWithIndifferentAccess#convert_value
  0.06      0.00     0.00     0.00     0.00        5  SimpleForm::Components::Errors#errors_on_attribute
  0.06      0.00     0.00     0.00     0.00       41  Hash#blank?
  0.06      0.00     0.00     0.00     0.00       30  SQLite3::Statement#column_name
  0.06      0.00     0.00     0.00     0.00        4  <Class::ActiveRecord::Base>#respond_to?
  0.06      0.00     0.00     0.00     0.00        7  <Class::ActiveRecord::Base>#set_readonly_option!
  0.06      0.00     0.00     0.00     0.00        8  Mime::Type#==
  0.06      0.00     0.00     0.00     0.00        5  ActiveRecord::Associations#association_instance_get
  0.06      0.00     0.00     0.00     0.00       23  ActiveSupport::CoreExtensions::Module#model_name
  0.06      0.00     0.00     0.00     0.00        4  ActiveSupport::Inflector#humanize
  0.06      0.00     0.00     0.00     0.00        8  ActiveSupport::Inflector#inflections
  0.06      0.00     0.00     0.00     0.00        7  ActionView::PathSet#find_template
  0.06      0.00     0.00     0.00     0.00        7  <Class::ActiveRecord::Base>#merge_includes
  0.06      0.00     0.00     0.00     0.00       18  ActiveRecord::Base#new_record?
  0.06      0.00     0.00     0.00     0.00        9  SimpleForm::Inputs::Base#input_html_options
  0.06      0.05     0.00     0.00     0.05        9  <Module::Benchmark>#ms
  0.06      0.00     0.00     0.00     0.00        2  ActiveRecord::Associations::AssociationCollection#size
  0.06      0.00     0.00     0.00     0.00        2  ActiveRecord::Associations::HasManyAssociation#construct_sql
  0.06      0.00     0.00     0.00     0.00        5  ActionView::Helpers::AssetTagHelper#compute_asset_host
  0.06      0.00     0.00     0.00     0.00        2  ActiveRecord::Associations::HasManyAssociation#count_records
  0.06      0.00     0.00     0.00     0.00        4  MonitorMixin#synchronize
  0.06      0.00     0.00     0.00     0.00       20  Class#inheritable_attributes
  0.06      0.00     0.00     0.00     0.00        4  ERB::Util#html_escape
  0.06      0.00     0.00     0.00     0.00       12  ActionView::Template::EagerPath#[]
  0.06      0.00     0.00     0.00     0.00        5  ActionView::Helpers::TagHelper#content_tag_string
  0.06      0.00     0.00     0.00     0.00        5  <Class::ActiveRecord::Base>#add_lock!
  0.06      0.00     0.00     0.00     0.00       24  Kernel#instance_variable_set
  0.06      0.00     0.00     0.00     0.00       22  String#sub!
  0.06      0.00     0.00     0.00     0.00       18  ActionView::Helpers::InstanceTag#sanitized_method_name
  0.06      0.00     0.00     0.00     0.00       26  Kernel#instance_variable_get
  0.06      0.00     0.00     0.00     0.00        2  ActionView::Helpers::AssetTagHelper#stylesheet_link_tag
  0.06      0.00     0.00     0.00     0.00       10  ActionView::Helpers::TextHelper#concat
